id	title	price_pc	benefit_price	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	brand	brand_certification	maker	origin	search_tag	shipping	attribute	gender
MAT230821272_PGE_IRE	[부산출발] 서안/태항산(+낙양) 5/6일	919900			https://ire.modetour.co.kr/product-common/1008?type=group	https://m-ire.modetour.co.kr/product-common/1008?type=group	https://img.modetour.com/eagle/photoimg/40301/bfile/636529095140948023.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 서안/태항산 3박5일	50007257	모두투어	Y	이레투어클럽	대한민국	서안|태항산|명산|태항대협곡	0	서안^태항산^명산^태항대협곡	남녀공용
MAT230821262_PGE_IRE	[부산출발/시그니처블랙] 연길/백두산 3/4/5일 (노쇼핑/노옵션/노팁)	929900			https://ire.modetour.co.kr/product-common/1002?type=group	https://m-ire.modetour.co.kr/product-common/1002?type=group	https://img.modetour.com/eagle/photoimg/27596/rfile/636123985107534072.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 기획전/연길/백두산 2박3일	50007257	모두투어	Y	이레투어클럽	대한민국	백두산|부산출발|연길|시그니처블랙|민족정기명산|북파	0	백두산^부산출발^연길^시그니처블랙^민족정기명산^북파	남녀공용
MAT260325098_PGE_IRE	[골프텔/송백골프텔/무제한라운딩] 중국 황산 골프 4/5일<관광포함/송백골프텔/송백CC/2인출발>	937900			https://ire.modetour.co.kr/product-common/39135?type=group	https://m-ire.modetour.co.kr/product-common/39135?type=group	https://img.modetour.com/eagle/photoimg/31736/rfile/638598468529808066.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 황산 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	중국 골프|골프텔|황산골프|무제한라운딩	0	중국^골프^골프텔^황산골프^무제한라운딩	남녀공용
MAT230811110_PGE_IRE	홍콩+디즈니랜드 4일	938900			https://ire.modetour.co.kr/product-common/101?type=group	https://m-ire.modetour.co.kr/product-common/101?type=group	https://img.modetour.com/eagle/photoimg/57421/rfile/635640169514199944.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 기획전/홍콩 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	홍콩디즈니랜드|홍콩핵심투어|특식3회|겨울왕국어트렉션	0	홍콩디즈니랜드^홍콩핵심투어^특식3회^겨울왕국어트렉션	남녀공용
MAT240923017_PGE_IRE	[노쇼핑] 상해 + 우전 수향마을(객잔숙박) 패키지 4일	939900			https://ire.modetour.co.kr/product-common/11971?type=group	https://m-ire.modetour.co.kr/product-common/11971?type=group	https://img.modetour.com/eagle/photoimg/80109/rfile/638616659793647357.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 상해 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	수향마을|상해|우전|동책|서책|야경|객잔숙박|상해수향마을|우전야경	0	수향마을^상해^우전^동책^서책^야경^객잔숙박^상해수향마을^우전야경	남녀공용
MAT230816033_PGE_IRE	[노쇼핑/노옵션/반일자유] 상해/주가각 4일(황포강유람선/뱃놀이/시티버스)	939900			https://ire.modetour.co.kr/product-common/181?type=group	https://m-ire.modetour.co.kr/product-common/181?type=group	https://img.modetour.com/eagle/photoimg/1350/rfile/636754585028650337.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 상해 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	주가각뱃놀이|상해품격여행|노쇼핑|특식제공|노옵션|월드체인호텔|시티버스|황포강유람선	0	주가각뱃놀이^상해품격여행^노쇼핑^특식제공^노옵션^월드체인호텔^시티버스^황포강유람선	남녀공용
MAT260402012_PGE_IRE	[골프텔/판산골프리조트/90홀~] 중국 북경 골프 4일 <명문골프리조트/2인출발OK>	944000			https://ire.modetour.co.kr/product-common/39656?type=group	https://m-ire.modetour.co.kr/product-common/39656?type=group	https://img.modetour.com/eagle/photoimg/c82af0b1c729442cb9167cd7d70025a7.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 북경/천진/베이징(및 인근 지역) 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	가성비골프|중국100대골프|판산CC|명문구장	0	가성비골프^중국100대골프^판산CC^명문구장	남녀공용
MAT240201059_PGE_IRE	신선거 안탕산 온주 패키지 4/5일	946000			https://ire.modetour.co.kr/product-common/3701?type=group	https://m-ire.modetour.co.kr/product-common/3701?type=group	https://img.modetour.com/eagle/photoimg/42993/rfile/635998763990264054.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 상해/온주/영파 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	신선거풍경구|노쇼핑|안탕산풍경구|동굴커피시음	0	신선거풍경구^노쇼핑^안탕산풍경구^동굴커피시음	남녀공용
MAT250828093_PGE_IRE	[인기상품] 장가계 4/5일 (노옵션/유리다리+대협곡/천문호선쇼)	949000			https://ire.modetour.co.kr/product-common/29471?type=group	https://m-ire.modetour.co.kr/product-common/29471?type=group	https://img.modetour.com/eagle/photoimg/10894/rfile/638902607724187079.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 기획전/장가계 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	리무진|원가계|장가계|노옵션|유리다리|부산출발	0	리무진^원가계^장가계^노옵션^유리다리^부산출발	남녀공용
MAT260129007_PGE_IRE	[시그니처블랙][노쇼핑/노옵션/노팁] 황산 4/5일 (5성급호텔/모노레일/휘주가무쇼/전신마사지포함)	949900			https://ire.modetour.co.kr/product-common/35843?type=group	https://m-ire.modetour.co.kr/product-common/35843?type=group	https://img.modetour.com/eagle/photoimg/83433/rfile/638985555156555883.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 황산 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	황산|케이블카|황산직항|태평-운곡|전신마사지|시그니처|노쇼핑|노옵션|노팁|시그니처블랙	0	황산^케이블카^황산직항^태평-운곡^전신마사지^시그니처^노쇼핑^노옵션^노팁^시그니처블랙	남녀공용
